Category,Mass_Loss_Rate,Combustion_Fraction,Bottom_Temperature,Middle_Temperature,Top_Temperature,Propagation_Rate
100% Pine,0.006256408,0.931531871,658.5053529,664.5128221,414.8360045,0.523829846
100% Pine,0.007016161,0.946152468,690.2167327,631.8319382,521.614456,0.587356694
100% Pine,0.008005605,0.819224531,746.6695096,597.953202,466.4221726,0.448496608
100% Pine,0.006363386,0.867128042,672.3311811,651.1066399,368.1818348,0.420608761
100% Pine,0.005672877,0.951504943,710.1409702,615.8068346,593.7385649,0.556603214
100% Pine,0.006991893,0.88823778,603.1615078,689.8130785,554.3669788,0.656529363
100% Pine,0.006132828,0.829643898,647.3489842,514.3686883,468.8388951,0.545793325
100% Pine,0.006672931,0.910873206,697.9505275,639.6764228,483.5650462,0.628179756
100% Pine,0.006268761,0.894022443,693.3338831,541.0599896,376.4887272,0.58640487
100% Pine,0.006634678,0.817545108,698.0909654,582.8971304,575.4739864,0.656198421
100% Pine,0.00668745,0.924335585,547.7352885,649.8212395,506.6049968,0.63091197
100% Pine,0.00572732,0.818298262,655.1726409,557.9987056,491.8207833,0.624059969
100% Pine,0.007015028,0.854200387,640.7143254,679.2700908,523.2244238,0.636750745
100% Pine,0.007602608,0.938270975,652.0315696,724.110709,586.1614679,0.643430261
100% Pine,0.006114999,0.907443551,636.4975547,511.0529659,414.0049176,0.615881992
100% Pine,0.00663069,0.865368974,736.907503,617.4474313,570.6863817,0.630317057
100% Pine,0.006532446,0.90450581,687.4186194,572.9666655,420.5983438,0.602712683
100% Pine,0.006657145,0.906438993,629.226393,565.6089176,432.6108104,0.536034092
100% Pine,0.006126026,0.860861393,719.4682046,588.3565735,517.800707,0.516044543
100% Pine,0.005958196,0.831316819,657.1708373,580.0312251,552.4571606,0.51683178
100% Pine,0.005471895,0.758675056,614.0208047,664.1851723,394.0145268,0.478044529
100% Pine,0.003785166,0.669273754,668.9057953,448.0294382,388.4124054,0.465774347
100% Pine,0.006626869,0.94655491,661.774382,643.2884662,464.7460552,0.476892767
100% Pine,0.006978912,0.936301286,616.5736574,618.2654707,488.1580212,0.553474326
100% Pine,0.00569778,0.926883152,736.6050378,533.3294259,448.3837998,0.415807554
100% Pine,0.007403248,0.863433596,674.6137819,598.260559,543.6738514,0.545846845
100% Pine,0.006786717,0.834119003,588.6487786,498.2096956,375.1803175,0.58863491
100% Pine,0.005036515,0.865633761,804.4493504,622.4157738,468.3721525,0.412484223
100% Pine,0.006900241,0.927367904,648.9050434,673.9317767,566.0270007,0.502431616
100% Pine,0.004402717,0.715437366,717.4574313,677.4288725,431.3682231,0.40902821
100% Pine,0.006071429,0.789788095,637.2560634,700.7796272,574.0835062,0.694578606
100% Pine,0.007372954,0.949913343,616.0906092,633.0206912,472.9681928,0.5934091
100% Pine,0.004847245,0.934713361,651.223996,399.2766658,251.971768,0.339542269
100% Pine,0.003513001,0.820705313,638.7676948,285.5227786,183.8185194,0.249797365
100% Pine,0.004436408,0.946649774,664.741891,504.9019402,391.1514606,0.296053307
100% Pine,0.004668356,0.894717796,673.6408035,587.0496107,468.9668299,0.375627539
100% Pine,0.004966401,0.92888249,668.682436,647.700541,415.1585643,0.343977123
100% Pine,0.004479699,0.844592602,579.5193261,544.4075809,388.0542882,0.36503089
100% Pine,0.004416706,0.778224352,749.3028568,645.4853735,481.7500091,0.545406755
100% Pine,0.004614428,0.763639755,783.9454409,677.2969066,598.5516239,0.607831048
100% Pine,0.004981246,0.850560294,602.7016762,638.4685841,436.241232,0.542620032
100% Pine,0.004875192,0.825845623,638.1243266,499.4668535,349.4057096,0.553001372
100% Pine,0.004637339,0.784594639,716.528883,594.5502887,406.1447831,0.578362095
100% Pine,0.005273133,0.899736796,758.7916858,717.652714,605.5121909,0.571786897
100% Pine,0.002425256,0.795385986,688.8363894,642.7293905,400.3817963,0.50038287
100% Oak,0.009001085,0.857232005,643.5881523,636.1036587,674.392413,0.837458319
100% Oak,0.008094807,0.739186291,630.5319546,589.0013093,334.6303076,0.873600816
100% Oak,0.006002711,0.888954225,673.178285,621.63726,507.8973523,0.635215989
100% Oak,0.007205872,0.878929089,599.222638,491.8841231,314.1013849,0.652121079
100% Oak,0.00521308,0.869459442,558.8288773,564.8852189,340.4013178,0.522565435
100% Oak,0.005966539,0.838946392,601.1329394,572.7510977,390.8512779,0.573410344
100% Oak,0.001608859,0.818417297,633.4371895,535.7047788,321.435251,0.409215171
100% Oak,0.002891079,0.819625278,584.214783,411.5321161,261.6235798,0.302135685
100% Oak,0.002781211,0.730813248,649.4830335,328.3899008,281.6100243,0.375283221
100% Oak,0.003652253,0.797285473,629.9293624,587.9752513,397.3799512,0.357682371
100% Oak,0.001420254,0.820675447,716.4639404,496.5335205,220.7242225,0.301500556
100% Oak,0.002435817,0.818024309,472.6501304,245.0979865,170.0323542,0.321839134
100% Oak,0.00155201,0.766652824,577.8838096,368.0396639,166.8766314,0.279333956
100% Oak,0.00205908,0.815577715,496.8649815,543.039034,323.0403238,0.324833834
100% Oak,0.00245083,0.886227547,557.7543907,494.1962038,257.9919016,0.331234812
100% Oak,0.00078691,0.762973275,454.2573558,665.7126794,258.1085754,0.338029478
100% Oak,0.002329466,0.81492677,619.1289856,508.2347122,229.9614624,0.361139029
100% Sweetgum,0.003167169,0.862511826,615.5482261,483.0316584,323.0733831,0.338744724
100% Sweetgum,0.002627105,0.842257166,556.5711692,384.4266655,158.0610399,0.27632055
100% Sweetgum,0.002884298,0.838867277,592.1801713,645.6019416,466.2840081,0.375438032
100% Sweetgum,0.003109847,0.905936711,533.5085777,490.9969001,334.3297915,0.348636958
100% Sweetgum,0.002524888,0.87903451,703.7603868,356.0026353,166.9016384,0.299701249
100% Sweetgum,0.001538412,0.785590659,689.0817827,575.8843304,290.7418343,0.278680367
100% Sweetgum,0.002466842,0.837823844,644.8830475,575.6541848,296.563686,0.332709989
100% Sweetgum,0.002327674,0.810380605,665.7764289,565.7419921,327.1507638,0.320682405
70% Pine,0.004509228,0.906018272,600.3800687,603.3668851,322.5930971,0.492181583
70% Pine,0.008714722,0.954201259,768.5831461,645.1707011,655.1120743,0.769623631
70% Pine,0.005610773,0.821368193,676.4931761,581.746132,494.4878691,0.450101064
70% Pine,0.006914448,0.872948869,636.4357537,639.5781745,573.7280262,0.516020903
70% Pine,0.008926872,0.923456701,698.4712119,604.4230483,437.1231528,0.630223646
70% Pine,0.005940473,0.797838097,573.4030512,494.7557976,400.3959212,0.600056091
70% Pine,0.005621035,0.795575907,671.466826,611.6858451,473.3662344,0.493538214
70% Pine,0.006526975,0.839264092,562.350558,617.9927754,416.7804789,0.578300395
70% Pine,0.006484597,0.824884855,626.1231838,647.9931291,558.6142915,0.656051169
70% Pine,0.006826341,0.760353023,672.2911185,619.4860187,622.3121134,0.84045272
70% Pine,0.007691585,0.822555674,716.1914736,629.4248462,546.0025731,0.60312329
70% Pine,0.007934341,0.904973007,697.393093,632.8154235,483.2188847,0.644894697
70% Pine,0.008913683,0.946469876,641.0718182,670.9655957,496.8667521,0.727530443
70% Pine,0.007877656,0.910604804,690.8104396,554.6635148,377.8196325,0.595410061
70% Pine,0.009539013,0.944012642,690.3353772,645.1420732,490.7181725,0.762065117
60% Pine,0.005843718,0.901937984,688.8537622,698.9329158,479.9208208,0.473114974
60% Pine,0.009451425,0.884806721,770.7832342,627.9741667,559.0898434,0.589713145
60% Pine,0.009606059,0.843174212,722.1278062,640.5524648,495.2098099,0.665390256
60% Pine,0.007954172,0.692792076,658.4570915,635.2734717,593.574666,0.852798249
60% Pine,0.008894071,0.75989173,669.3368813,600.5717373,470.444693,0.904138389
60% Pine,0.008743675,0.779043595,732.2996155,560.3600827,569.4924932,0.905897653
60% Pine,0.008745216,0.828589578,671.8536545,572.193302,430.483757,0.871964652
60% Pine,0.008539332,0.909132786,572.6648799,611.2079843,501.0248621,0.710867737
60% Pine,0.005430427,0.856437132,681.0906439,667.477826,444.4560633,0.486004803
60% Pine,0.003940086,0.837187189,679.5782861,634.062864,440.3409826,0.401031603
60% Pine,0.004495777,0.819364217,652.5113454,623.3053756,574.7443593,0.485895776
60% Pine,0.005483307,0.860446595,674.2739199,704.0964507,528.692103,0.531337739
60% Pine,0.004631186,0.76864182,713.3736281,656.7966425,412.4898581,0.518663157
60% Pine,0.003672302,0.807521964,632.2172218,595.3032778,454.8017725,0.567107322
60% Pine,0.003141952,0.728999405,674.3752261,578.4701472,230.4960105,0.47419048
60% Pine,0.002382366,0.734825826,726.3800992,686.4215205,398.4885137,0.421281754
60% Pine,0.004133553,0.78204882,767.2820243,639.1942109,310.3871366,0.509266832
50% Pine,0.006746815,0.90884943,692.3263789,562.4765362,438.6103723,0.496671898
50% Pine,0.00526778,0.835689057,639.8423348,566.8516752,395.225639,0.443215527
50% Pine,0.010508844,0.851995814,629.4621529,642.6288627,462.7364296,0.929407104
50% Pine,0.005793422,0.689930829,745.0870528,605.2742611,477.6886045,0.658578331
50% Pine,0.004255146,0.616893143,640.9271598,523.5634382,365.7747911,0.572001356
40% Pine,0.00539689,0.893581954,708.3584665,642.7625377,436.3264425,0.424043012
40% Pine,0.005028942,0.845396885,635.6021949,504.9735604,358.9520961,0.389111611
40% Pine,0.004279129,0.726200901,600.2006438,535.41772,287.3810729,0.400095837
40% Pine,0.006527477,0.83262707,661.1758164,670.8685731,546.077432,0.628357439
40% Pine,0.005879888,0.766782347,617.5239886,481.7153321,352.1545137,0.481183102
40% Pine,0.004073191,0.719869515,731.0950129,567.488365,428.1657814,0.473173281
40% Pine,0.004970622,0.812085327,670.4852335,510.5255564,416.7211988,0.482990831
40% Pine,0.005817369,0.748502687,598.4706243,617.6188831,523.3541445,0.638701726
30% Pine,0.005175465,0.887517029,605.2578777,579.6535261,443.5020851,0.37239699
30% Pine,0.005156126,0.879366015,718.9516903,530.7481824,341.7759567,0.414604902
30% Pine,0.005188389,0.835476833,716.9312562,654.9674805,524.9449884,0.42067592
30% Pine,0.004485728,0.760139739,490.3931078,579.5090857,441.1938547,0.361597999
30% Pine,0.004680256,0.881564796,561.6338535,527.4747952,392.5559492,0.346098241
30% Pine,0.005731816,0.93996886,677.8188824,630.3990708,512.0669494,0.335242693
30% Pine,0.004346603,0.822789197,648.6192988,520.6585737,391.7751563,0.432008303
30% Pine,0.004238544,0.725505996,564.6137089,543.6302468,340.2578171,0.457992667
30% Pine,0.005137972,0.860941417,722.7319236,638.3124363,480.4026094,0.471173914
30% Pine,0.004667429,0.755041617,601.9342561,648.677625,443.1050037,0.514293045
30% Pine,0.004282597,0.870644344,576.2432593,630.2091839,435.0775768,0.490217857
30% Pine,0.004648077,0.849290689,648.9909531,736.5834306,630.0605564,0.473644005
30% Pine,0.002571544,0.744784455,731.1766195,505.749616,232.0833925,0.374214518
20% Pine,0.003639217,0.854621013,595.4663193,673.2571909,216.7068364,0.343608
20% Pine,0.00370156,0.699677647,670.7179218,446.6718769,328.6666305,0.323699163
20% Pine,0.002674744,0.64311713,446.5915745,532.5365205,281.6026303,0.337365328
20% Pine,0.005054835,0.825942335,668.1436655,647.0235932,478.7157627,0.504447014
20% Pine,0.003698079,0.690285091,715.6981232,658.6921854,369.4987064,0.443429069
20% Pine,0.003380855,0.644373808,597.7730333,543.364507,232.7238024,0.469357111
10% Pine,0.003162237,0.638019823,632.4754399,368.8779782,204.2947516,0.357083383
10% Pine,0.002913838,0.671419189,572.8591396,340.9117477,210.1309889,0.332566516
10% Pine,0.002331478,0.545446343,698.6352985,325.0901929,192.5000367,0.310225147
10% Pine,0.00355432,0.722713886,587.8177783,462.8655364,304.8541381,0.35674014
10% Pine,0.003340593,0.707527759,588.5275877,557.9211906,328.6486481,0.277095758
10% Pine,0.002500913,0.663151609,592.9195925,451.2326959,232.5780085,0.23658451
10% Pine,0.00206353,0.759728444,611.88866,290.6201115,227.3864381,0.341135904
10% Pine,0.003721674,0.793694516,542.7417717,697.4467731,357.7756579,0.402164763
10% Pine,0.003051755,0.783860645,656.3461337,408.1973864,289.1597978,0.411699127
10% Pine,0.004405461,0.817801726,653.9259873,703.1124795,404.8823473,0.443272148
10% Pine,0.004299789,0.850313708,673.6430059,661.7039653,530.3142486,0.422935394
10% Pine,0.002854653,0.833096683,442.8857671,463.6941958,203.213651,0.328846913
10% Pine,0.001779572,0.8232598,483.927552,364.9653389,214.7308679,0.295296033
10% Pine,0.003142991,0.867018444,596.0796068,482.576432,245.0164481,0.349992919
70% Sweetgum,0.002899619,0.712536431,627.1900721,464.3628304,194.8012283,0.265692178
70% Sweetgum,0.002755233,0.872617009,656.1783434,291.2315451,239.3851215,0.23419847
70% Sweetgum,0.002253627,0.72858945,547.363943,356.2469193,198.0887659,0.245822245
70% Sweetgum,0.003441232,0.87019684,621.1411531,503.4991375,338.4335416,0.344119654
